MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU412019898768,김포소방서,중앙119안전센터,플레이문PC,인터넷컴퓨터게임시설제공업(PC방),20210204101257,20210204,101257,2021,02,04,근린생활시설,20190423,20190501,,경기도 김포시 풍무동 ,풍무1로,,콘크리트.석고.타일.유리.철,948.0,MDF(도료/필름),53.0,1/4,두송빌딩(두현범 외 3인건물) - 두송빌딩동,양식(옥),철근콘크리트조,,Y
MU282019226590,공단소방서,동춘119안전센터,카페 코너스,휴게음식점,20210713092950,20210713,092950,2021,07,13,,20190412,20190417,20190422,인천광역시 연수구 동춘동 ,청능대로,연수 SQUARE1,석고보드. 유리,141.0,합판(방염필름),49.0,3/6,스퀘어원 - 1동동,양식(옥),철근콘크리트조,Y,Y
MU262019238441,부산진소방서,범일119안전센터,소쿠리1968,일반음식점,20211024163532,20211024,163532,2021,10,24,,20190304,20190326,,부산광역시 부산진구 범천동 ,신암로,,콘크리트.유리.석고,237.0,목재(도료),23.0,0/3,,양식(옥),철근콘크리트조,,Y
MU262019239408,부산진소방서,부산진 예방안전과,런투유,일반음식점,20211024162459,20211024,162459,2021,10,24,,20190510,20190516,,부산광역시 부산진구 부전동 ,서면로,효성엑센시티,콘크리트.타일.석고.유리,1161.0,목재.MDF,94.0,5/12,,양식(옥),철근콘크리트조,,Y
MU412019890692,광주소방서,119생활안전단,큐코인노래연습장,노래연습장업,20211020212839,20211020,212839,2021,10,20,근린생활시설,20190219,20190327,20200410,경기도 광주시 오포읍 신현리,신현로,,유리.석고보드.ALC벽돌,824.0,,,0/2,,양식(옥),철근콘크리트조,,Y
MU282019226399,미추홀소방서,신기119안전센터,리차이,일반음식점,20210804144712,20210804,144712,2021,08,04,,20190318,20190401,20210719,인천광역시 미추홀구 학익동 ,한나루로341번길,,석고. 방화석고. 콘크리트. 타일. 유리,491.0,,,0/2,,양식(옥),철근콘크리트조,,Y
MU432019187368,충주소방서,연수119안전센터,통영회종합수산,일반음식점,20210913173522,20210913,173522,2021,09,13,,20181205,20190501,20210813,충청북도 충주시 연수동 ,연수로,,유리.석고보드,388.0, 합판(도료),6.0,3,,양식(옥),철근콘크리트조,,Y
MU412019899286,김포소방서,중앙119안전센터,(주)에스디인터내셔날 나인블럭 김포점,일반음식점,20210527141500,20210527,141500,2021,05,27,근린생활시설,20190411,20190503,,경기도 김포시 운양동 ,김포대로,나인블럭카페,돌.타일.철.유리.석고보드,2655.0,MDF,52.0,-1/2,,양식(옥),철근콘크리트조,,Y
MU412019890166,,,엠게임랜드,게임제공업,20210902142304,20210902,142304,2021,09,02,근린생활시설,20190315,20190322,20210901,경기도 광주시 곤지암읍 곤지암리,곤지암로,,철판.유리.석고보드,301.0,,,1/3,,양식(옥),철근콘크리트조,,Y
MU412019902525,의정부소방서,송산119안전센터,벤츠 노래연습장,노래연습장업,20211111090630,20211111,090630,2021,11,11,,20190515,20190521,,경기도 의정부시 민락동 ,오목로205번길,,유리.방화석고.타일.조적.석고,588.0,,,2/8,,양식(옥),철근콘크리트조,,Y
MU472019225506,영천소방서,남부119안전센터,마카오게임랜드,게임제공업,20210309142448,20210309,142448,2021,03,09,,20190513,20190521,20210217,경상북도 영천시 완산동 ,시장5길,,철근콘크리트.석고보드.강화유리,145.0, MDF(방염도료),19.0,지하1/지상2,,양식(옥),철근콘크리트조,,Y
