adm_cd,adm_nm,gu_cd,fire_rate_per_10k,v2_pred_fire_rate,v2_risk_score,v2_risk_grade,log_avg_living_pop,ratio_65plus,old_bldg_ratio,avg_floors,damage_per_fire,injury_per_fire,avg_living_pop,fire_count,fire_damage,fire_injury,shap_생활인구 (log),shap_65세+ 비율,shap_노후건물비율 (구단위),shap_평균 층수 (구단위),shap_화재당 재산피해 (log),shap_화재당 부상자 수
1114062500,서울특별시 중구 다산동,11140,19.3714,13.2031,6.57,매우높음,9.613904805853641,0.1697,0.5778,3.2,8.382380978891993,0.05555555555555556,14970.5169636008,29.0,131052.0,1.6666666666666667,0.042354785933064465,-0.0009869962293250786,0.0001951816926015963,0.022787984488550954,0.01841736525807813,-0.0011579225967612088
1117069000,서울특별시 용산구 서빙고동,11170,12.3648,13.1843,6.55,매우높음,9.639989015618726,0.154,0.7379,2.75,7.255143904895713,0.016666666666666666,15366.17493221434,19.0,28287.33333333333,0.3333333333333333,0.03868766752523682,0.00023046455009067713,-0.004438357599438059,0.04801453558288782,-0.005357121390235091,0.00305291701264856
1141066000,서울특별시 서대문구 홍은1동,11410,21.7058,13.18,6.54,매우높음,9.639383915801915,0.2022,0.6647,2.75,7.226632574400534,0.0,15356.879070223798,33.333333333333336,47194.0,0.0,0.038772737101688826,-0.0035072175879882687,-0.0023198374484242994,0.04801453558288782,-0.005958452079067217,0.004857562559538462
1126066000,서울특별시 중랑구 망우3동,11260,20.6208,13.1713,6.53,매우높음,9.37597269125495,0.2104,0.5997,3.26,7.14118261258332,0.07894736842105264,11800.39107544301,24.33333333333333,31968.666666666668,2.0,0.075805108757341,-0.004143088823097136,-0.00043863786077547165,0.019424444342639395,-0.007760671881082827,-0.0036907584520452816
1150055000,서울특별시 강서구 화곡2동,11500,11.3806,13.1731,6.53,매우높음,9.441095579448461,0.1747,0.4572,3.62,7.91839921116264,0.021739130434782608,12594.50873065866,14.333333333333334,42111.0,0.3333333333333333,0.06664963331008406,-0.001374722592196339,0.0036855304659931154,-0.0007567965328301106,0.008631554804882669,0.002503677063595113
1117057000,서울특별시 용산구 원효로2동,11170,12.153,13.1685,6.52,매우높음,9.657267088142161,0.1659,0.7379,2.75,7.528044987238691,0.05,15633.997158342432,19.0,37169.333333333336,1.0,0.036258583478869295,-0.0006923241935429211,-0.004438357599438059,0.04801453558288782,0.0003986182746002847,-0.0005563740811312417
1147058000,서울특별시 양천구 신월3동,11470,20.2358,13.1618,6.52,매우높음,9.486377715734141,0.1795,0.6145,3.1,6.919124142785849,0.0,13177.970783378822,26.666666666666668,27955.33333333333,0.0,0.06028352304588686,-0.0017469399005527483,-0.0008669725361170523,0.02839388473173693,-0.012444093183603133,0.004857562559538462
1126055000,서울특별시 중랑구 면목5동,11260,10.8859,13.1555,6.51,매우높음,9.335262056799213,0.1735,0.5997,3.26,6.400382022266397,0.024999999999999998,11329.59713820051,12.333333333333334,8014.333333333333,0.3333333333333333,0.08152852220752764,-0.001281668265107236,-0.00043863786077547165,0.019424444342639395,-0.02338485081365967,0.0021505942392036105
1141052000,서울특별시 서대문구 천연동,11410,16.0221,13.154,6.5,매우높음,9.69453004588078,0.1756,0.6647,2.75,7.529545685125786,0.024691358024691357,16227.594305467614,26.0,50254.0,0.6666666666666666,0.031019870882856255,-0.0014445133375131666,-0.0023198374484242994,0.04801453558288782,0.00043026939990740493,0.002184013601183053
1165055000,서울특별시 서초구 반포본동,11650,21.4562,13.1454,6.49,매우높음,8.44712652822631,0.1475,0.4541,5.94,8.076882512518818,0.18181818181818182,4660.658328156841,10.0,35400.0,2.0,0.2063894313478542,0.0007345088218233156,0.0037752492155579053,-0.1308136821747446,0.01197411620477989,-0.014829479770169551
1156065000,서울특별시 영등포구 신길3동,11560,12.1615,13.1382,6.48,매우높음,9.484727528405607,0.1743,0.554,3.37,7.639802608499639,0.0392156862745098,13156.240946870452,16.0,35331.666666666664,0.6666666666666666,0.06051551904589348,-0.0013437044831666393,0.0008839901570022426,0.01325795407513481,0.0027556912770842425,0.00061133774332693
