adm_cd,avg_living_pop,avg_65plus_pop,ratio_65plus
1150051000,30366.73511988719,3540.2093332332606,0.1166
1150052000,22241.202547188863,2907.892090929767,0.1307
1150053000,15571.739886726711,2517.0915914028383,0.1616
1150053500,39189.47567228894,7109.976235498544,0.1814
1150054000,46851.944928038574,7859.593817003275,0.1678
1150055000,12594.508730658661,2200.2186385280206,0.1747
1150056000,18668.345160443958,3444.1522289756185,0.1845
1150057000,17574.439415120087,3227.5518507005095,0.1837
1150059000,28065.713025063684,4580.633921097162,0.1632
1150059100,20497.32443356077,3116.766786035298,0.1521
1150059300,30529.988739583332,4776.6310268558955,0.1565
1150060300,48742.907279594256,4516.266270023653,0.0927
1150060400,15128.464224390465,3912.914746897744,0.2586
1150060500,11164.589147965715,2227.809496431397,0.1995
1150061100,34822.930178729985,4333.052801200874,0.1244
1150061500,33328.73688546215,4779.283317503639,0.1434
1150062000,33902.75301526565,4165.384161954148,0.1229
1150063000,33242.86333125,5063.309422625546,0.1523
1150064000,26655.536378811863,4629.3179735716885,0.1737
1150064100,16596.665958888283,3394.3670752365356,0.2045
1153051000,33254.114388591704,4192.71071444687,0.1261
1153052000,16513.782375900653,2232.255315711426,0.1352
1153053000,33585.084387145194,5633.946887372635,0.1678
1153054000,40532.880133906474,3626.2873328056767,0.0895
1153055000,18325.849555049128,3416.487735271106,0.1864
1153056000,32968.492714101165,4577.988151200873,0.1389
1153059500,10887.980900272927,1346.7333129912663,0.1237
1153072000,22783.32093191412,3632.6275245087336,0.1594
1153073000,16032.628506741266,2931.8390653748183,0.1829
1153074000,30284.285036371908,5825.7158697234345,0.1924
1153075000,23533.94490225619,4578.831354221252,0.1946
1153076000,15898.875291402837,3174.210986017103,0.1997
1153077000,16257.277668868268,2700.26644382278,0.1661
1153078000,50778.61916205422,7854.807056177219,0.1547
1153079000,22631.43286820415,3763.184099317685,0.1663
1154551000,59631.84010732351,3999.683328548035,0.0671
1154561000,36832.598681568415,4724.969075272926,0.1283
1154562000,13870.039688064046,2467.2318329694326,0.1779
1154563000,19958.48331496543,3317.74247584607,0.1662
1154564000,11733.975483997452,1985.3849527747452,0.1692
1154567000,27669.93434606987,4624.217237127002,0.1671
