adm_cd,adm_nm,sigungu_nm,fire_rate_per_10k,pred_fire_rate,risk_score,risk_grade,ratio_65plus,old_bldg_ratio,avg_floors,multi_use_cnt,multi_use_per_pop,avg_living_pop,avg_65plus_pop,fire_count,fire_injury,fire_damage
1168064000,서울특별시 강남구 역삼1동,강남구,14.895,14.7073,5.29,높음,0.0702,0.5206,4.83,0.0,0.0,104733.01428008552,7347.337727820233,156.0,7.0,565234.3333333334
1132067000,서울특별시 도봉구 쌍문2동,도봉구,14.5572,14.6788,5.28,높음,0.1999,0.65,4.79,0.0,0.0,17173.629270796944,3433.7780517285296,25.0,1.6666666666666667,41270.66666666666
1129064000,서울특별시 성북구 정릉3동,성북구,15.5181,14.673,5.27,높음,0.1399,0.6333,2.79,0.0,0.0,15895.445164419578,2223.6844046852257,24.666666666666668,1.0,114208.33333333331
1162068500,서울특별시 관악구 신사동,관악구,16.997,14.5841,5.23,높음,0.1492,0.5979,3.15,15.0,7.354479146552937,20395.733948107714,3042.2805653748183,34.666666666666664,0.6666666666666666,28303.666666666668
1153076000,서울특별시 구로구 개봉3동,구로구,15.5147,14.5623,5.22,높음,0.1997,0.5993,3.43,0.0,0.0,15898.875291402836,3174.210986017103,24.666666666666668,0.6666666666666666,70089.0
1168054500,서울특별시 강남구 압구정동,강남구,15.9274,14.5599,5.22,높음,0.1236,0.5206,4.83,0.0,0.0,42275.0262341794,5223.195712609171,67.33333333333333,2.0,222499.3333333333
1123065000,서울특별시 동대문구 장안1동,동대문구,15.1861,14.5055,5.2,높음,0.1535,0.6955,3.25,0.0,0.0,34900.448211963245,5356.223806586609,53.0,3.6666666666666665,227646.0
1130553500,서울특별시 강북구 미아동,강북구,14.9871,14.4749,5.18,높음,0.2034,0.7607,2.91,2.0,0.8815970396743369,22686.1015860353,4615.114671397379,34.0,0.6666666666666666,27615.666666666668
1111065000,서울특별시 종로구 혜화동,종로구,14.7839,14.4244,5.16,높음,0.105,0.3906,2.58,1.0,0.3237350492624574,30889.457359597887,3244.1322330240178,45.66666666666666,2.333333333333333,58560.333333333336
1141065500,서울특별시 서대문구 홍제2동,서대문구,10.0087,14.4091,5.15,높음,0.1886,0.6647,2.75,0.0,0.0,9991.29853919214,1884.5818329694323,10.0,0.3333333333333333,39412.66666666666
1126059000,서울특별시 중랑구 상봉2동,중랑구,16.6596,14.3787,5.14,높음,0.1502,0.5997,3.26,0.0,0.0,25610.85729102984,3846.78138845524,42.66666666666666,2.333333333333333,52042.333333333336
1117058000,서울특별시 용산구 효창동,용산구,14.1105,14.3581,5.13,높음,0.1596,0.7379,2.75,0.0,0.0,9449.209983578969,1508.212887372635,13.333333333333334,0.3333333333333333,7225.0
1171060000,서울특별시 송파구 석촌동,송파구,16.4568,14.3585,5.13,높음,0.1324,0.4684,6.28,0.0,0.0,28762.25038405204,3808.960765010917,47.333333333333336,1.6666666666666667,168076.0
1111058000,서울특별시 종로구 교남동,종로구,11.2657,14.331,5.12,높음,0.1582,0.3906,2.58,1.0,1.3518804964487283,7397.103535607715,1170.1885276746723,8.333333333333334,0.3333333333333333,14197.0
1171056200,서울특별시 송파구 방이2동,송파구,15.0054,14.2951,5.1,높음,0.1158,0.4684,6.28,0.0,0.0,36209.294554676126,4194.429472962154,54.333333333333336,4.0,297598.3333333333
1141056500,서울특별시 서대문구 충현동,서대문구,11.0819,14.2788,5.09,높음,0.1231,0.6647,2.75,0.0,0.0,40306.01384503275,4961.969575727801,44.66666666666666,1.3333333333333333,2600092.333333333
1150060400,서울특별시 강서구 가양2동,강서구,11.8981,14.2287,5.07,높음,0.2586,0.4572,3.62,0.0,0.0,15128.464224390464,3912.914746897744,18.0,0.6666666666666666,53970.66666666666
1162052500,서울특별시 관악구 보라매동,관악구,14.937,14.2368,5.07,높음,0.1571,0.5979,3.15,0.0,0.0,17629.598517085153,2769.600128893741,26.33333333333333,2.333333333333333,80194.0
1156062000,서울특별시 영등포구 양평2동,영등포구,15.1934,14.2032,5.06,높음,0.0985,0.554,3.37,0.0,0.0,27863.03904405932,2743.1205906113537,42.333333333333336,2.6666666666666665,97886.66666666669
1126056500,서울특별시 중랑구 면목본동,중랑구,16.6082,14.1618,5.04,높음,0.1762,0.5997,3.26,0.0,0.0,26894.28781298217,4739.498548007641,44.66666666666666,2.333333333333333,64910.66666666666
1117056000,서울특별시 용산구 원효로1동,용산구,13.602,14.1757,5.04,높음,0.1028,0.7379,2.75,0.0,0.0,20585.214410935227,2115.7637070687774,28.0,1.3333333333333333,37975.66666666666
1126057500,서울특별시 중랑구 면목3·8동,중랑구,16.782,14.146,5.03,높음,0.1823,0.5997,3.26,0.0,0.0,20259.765043986536,3694.125077356259,34.0,2.0,26905.0
1111064000,서울특별시 종로구 이화동,종로구,11.964,14.1574,5.03,높음,0.1271,0.3906,2.58,0.0,0.0,23960.691169241265,3044.529362509097,28.666666666666668,1.3333333333333333,95484.66666666669
1150059000,서울특별시 강서구 화곡본동,강서구,17.459,14.1335,5.02,높음,0.1632,0.4572,3.62,0.0,0.0,28065.713025063684,4580.633921097162,49.0,1.6666666666666667,40026.66666666666
1135062400,서울특별시 노원구 중계4동,노원구,16.1379,14.1209,5.02,높음,0.2115,0.646,3.44,0.0,0.0,16317.68907308952,3451.4373796215427,26.33333333333333,1.0,26312.666666666668
1150059100,서울특별시 강서구 화곡6동,강서구,17.5633,14.0789,5.0,높음,0.1521,0.4572,3.62,0.0,0.0,20497.32443356077,3116.766786035298,36.0,1.0,21764.33333333333
1111053000,서울특별시 종로구 사직동,종로구,14.6294,14.0496,4.98,높음,0.1233,0.3906,2.58,0.0,0.0,24380.171084916303,3005.77456885917,35.666666666666664,1.3333333333333333,35672.666666666664
1150052000,서울특별시 강서구 등촌1동,강서구,16.336,14.0491,4.98,높음,0.1307,0.4572,3.62,0.0,0.0,22241.202547188863,2907.892090929767,36.333333333333336,1.6666666666666667,66974.66666666667
1138055100,서울특별시 은평구 갈현1동,은평구,13.2351,13.9763,4.95,높음,0.1829,0.5835,3.41,0.0,0.0,20400.30039787118,3730.3508898653567,27.0,1.6666666666666667,169239.66666666666
1168066000,서울특별시 강남구 개포1동,강남구,11.6024,13.9389,4.93,높음,0.171,0.5206,4.83,0.0,0.0,8906.178183888282,1522.9245543031295,10.333333333333334,1.3333333333333333,488314.6666666667
1162065500,서울특별시 관악구 신원동,관악구,13.7545,13.9232,4.93,높음,0.1475,0.5979,3.15,0.0,0.0,16479.486770931428,2430.6020041809065,22.666666666666668,1.6666666666666667,56123.0
1129078000,서울특별시 성북구 장위3동,성북구,13.1751,13.94,4.93,높음,0.1719,0.6333,2.79,0.0,0.0,7843.090877283478,1347.9563883096798,10.333333333333334,0.3333333333333333,26474.666666666668
1130555500,서울특별시 강북구 송천동,강북구,15.2659,13.9417,4.93,높음,0.2129,0.7607,2.91,0.0,0.0,26638.844303411573,5671.982101391922,40.66666666666666,1.0,43529.333333333336
1156051500,서울특별시 영등포구 영등포본동,영등포구,14.9187,13.8549,4.89,높음,0.1554,0.554,3.37,0.0,0.0,18768.4528966976,2917.14806790393,28.0,1.0,39764.333333333336
1162061500,서울특별시 관악구 중앙동,관악구,16.4122,13.8372,4.89,높음,0.1416,0.5979,3.15,0.0,0.0,15435.624998926492,2185.228566575692,25.33333333333333,0.3333333333333333,15734.333333333334
