adm_cd,adm_nm,year,fire_count,death_cnt,injury_cnt,property_damage
1126059000,서울특별시 중랑구 상봉2동,2023,22,0,3,66595
1126059000,서울특별시 중랑구 상봉2동,2024,16,0,1,18831
1126060000,서울특별시 중랑구 중화1동,2021,45,0,2,70399
1126060000,서울특별시 중랑구 중화1동,2022,7,0,0,14698
1126060000,서울특별시 중랑구 중화1동,2023,8,0,1,14355
1126060000,서울특별시 중랑구 중화1동,2024,7,0,0,11539
1126061000,서울특별시 중랑구 중화2동,2021,104,0,6,101801
1126061000,서울특별시 중랑구 중화2동,2022,21,0,2,48680
1126061000,서울특별시 중랑구 중화2동,2023,13,0,2,4186
1126061000,서울특별시 중랑구 중화2동,2024,13,0,1,47809
1126062000,서울특별시 중랑구 묵1동,2021,72,1,4,177842
1126062000,서울특별시 중랑구 묵1동,2022,11,0,1,2106
1126062000,서울특별시 중랑구 묵1동,2023,8,0,0,7409
1126062000,서울특별시 중랑구 묵1동,2024,10,0,0,1359
1126063000,서울특별시 중랑구 묵2동,2021,48,0,1,47454
1126063000,서울특별시 중랑구 묵2동,2022,13,0,1,75218
1126063000,서울특별시 중랑구 묵2동,2023,6,0,3,9479
1126063000,서울특별시 중랑구 묵2동,2024,3,0,0,38
1126065500,서울특별시 중랑구 망우본동,2021,110,0,6,172296
1126065500,서울특별시 중랑구 망우본동,2022,25,0,2,24039
1126065500,서울특별시 중랑구 망우본동,2023,15,0,0,11685
1126065500,서울특별시 중랑구 망우본동,2024,21,0,5,57659
1126066000,서울특별시 중랑구 망우3동,2021,54,0,4,39930
1126066000,서울특별시 중랑구 망우3동,2022,11,0,1,53289
1126066000,서울특별시 중랑구 망우3동,2023,8,0,1,2687
1126066000,서울특별시 중랑구 망우3동,2024,6,0,0,797
