adm_cd,adm_nm,risk_class,risk_index,hotspot_rank,lat,lon,fire_count
1138063200,서울특별시 은평구 신사2동,최우선 대응,70.1,1,37.593563418205136,126.90850534102566,39
1138063200,서울특별시 은평구 신사2동,최우선 대응,70.1,2,37.59111115692308,126.90508252307693,13
1141062000,서울특별시 서대문구 홍제1동,잠재 위험,69.96,1,37.5872028993617,126.94397613404257,47
1141062000,서울특별시 서대문구 홍제1동,잠재 위험,69.96,2,37.58413667692308,126.93759727692306,13
1141062000,서울특별시 서대문구 홍제1동,잠재 위험,69.96,3,37.587929681249996,126.9372259,8
1147059000,서울특별시 양천구 신월4동,최우선 대응,69.55,1,37.5214600222,126.8406309,50
1147059000,서울특별시 양천구 신월4동,최우선 대응,69.55,2,37.525832574999995,126.83811634999999,4
1162066500,서울특별시 관악구 서림동,최우선 대응,69.06,1,37.47442266942529,126.93730065632184,87
1126057500,서울특별시 중랑구 면목3·8동,최우선 대응,68.77,1,37.58224326410714,127.08866374285715,56
1126057500,서울특별시 중랑구 면목3·8동,최우선 대응,68.77,2,37.588488676842104,127.09767498157896,38
1126057500,서울특별시 중랑구 면목3·8동,최우선 대응,68.77,3,37.581224416666664,127.09591121666666,6
1129065000,서울특별시 성북구 정릉4동,잠재 위험,68.55,1,37.61212274666666,127.0103746511111,45
1162057500,서울특별시 관악구 행운동,최우선 대응,68.55,1,37.48039033336134,126.95983915966384,119
1129065000,서울특별시 성북구 정릉4동,잠재 위험,68.55,2,37.61681114461539,127.0047996230769,13
1129065000,서울특별시 성북구 정릉4동,잠재 위험,68.55,3,37.62091146,127.0020468,2
1138064000,서울특별시 은평구 증산동,최우선 대응,68.53,1,37.5847256745283,126.90828130754717,53
1138064000,서울특별시 은평구 증산동,최우선 대응,68.53,2,37.57901094,126.900497725,4
1138064000,서울특별시 은평구 증산동,최우선 대응,68.53,3,37.58873995333334,126.90829880000001,3
1129064000,서울특별시 성북구 정릉3동,최우선 대응,68.14,1,37.610804774222224,127.00488481777779,45
1129064000,서울특별시 성북구 정릉3동,최우선 대응,68.14,2,37.608116818,126.99978959999999,5
1129064000,서울특별시 성북구 정릉3동,최우선 대응,68.14,3,37.6061095,127.002010125,4
1111057000,서울특별시 종로구 무악동,잠재 위험,67.27,1,37.575798559166664,126.958656025,24
1130553500,서울특별시 강북구 미아동,최우선 대응,67.19,1,37.62847807765958,127.02481296276592,94
1130553500,서울특별시 강북구 미아동,최우선 대응,67.19,2,37.62781922166666,127.03089511666667,6
1130553500,서울특별시 강북구 미아동,최우선 대응,67.19,3,37.63464945,127.0271516,2
1150064000,서울특별시 강서구 방화2동,최우선 대응,67.05,1,37.567618427042255,126.80915503098593,71
1150064000,서울특별시 강서구 방화2동,최우선 대응,67.05,2,37.5710183,126.80476298571429,7
1150064000,서울특별시 강서구 방화2동,최우선 대응,67.05,3,37.57603951857143,126.80235021428572,7
1147060000,서울특별시 양천구 신월5동,최우선 대응,66.52,1,37.53815702128205,126.83129953589741,39
1147060000,서울특별시 양천구 신월5동,최우선 대응,66.52,2,37.5413306888889,126.82836756666666,9
1147060000,서울특별시 양천구 신월5동,최우선 대응,66.52,3,37.5442487,126.82885544999999,2
1126057000,서울특별시 중랑구 면목7동,최우선 대응,66.32,1,37.57900102054795,127.08694211780822,73
1126057000,서울특별시 중랑구 면목7동,최우선 대응,66.32,2,37.5763908,127.08977695,2
1130555500,서울특별시 강북구 송천동,최우선 대응,65.91,1,37.618210002909095,127.02494111363636,110
1130555500,서울특별시 강북구 송천동,최우선 대응,65.91,2,37.62432531888889,127.01971283333334,9
1130555500,서울특별시 강북구 송천동,최우선 대응,65.91,3,37.6126806,127.02856076666666,3
1130566000,서울특별시 강북구 인수동,최우선 대응,65.6,1,37.63882973669903,127.01430059611651,103
1130566000,서울특별시 강북구 인수동,최우선 대응,65.6,2,37.638268517499995,127.00821075,4
1130566000,서울특별시 강북구 인수동,최우선 대응,65.6,3,37.6436531,127.00426723333332,3
1141065500,서울특별시 서대문구 홍제2동,잠재 위험,65.42,1,37.585751289,126.950021175,20
1141065500,서울특별시 서대문구 홍제2동,잠재 위험,65.42,2,37.587980124999994,126.94646582499999,8
1141065500,서울특별시 서대문구 홍제2동,잠재 위험,65.42,3,37.580845,126.95328225,2
1132071000,서울특별시 도봉구 방학3동,잠재 위험,65.36,1,37.66055148629032,127.0264784193548,62
1153077000,서울특별시 구로구 오류1동,최우선 대응,65.17,1,37.49638063307692,126.84321986923077,65
1153077000,서울특별시 구로구 오류1동,최우선 대응,65.17,2,37.496383449999996,126.838471425,4
1153077000,서울특별시 구로구 오류1동,최우선 대응,65.17,3,37.4984049,126.8355838,2
1150060400,서울특별시 강서구 가양2동,잠재 위험,65.05,1,37.56403128,126.85334530576924,52
1150060400,서울특별시 강서구 가양2동,잠재 위험,65.05,2,37.56876535,126.85134590000001,2
1159063000,서울특별시 동작구 사당2동,잠재 위험,64.64,1,37.488210312298854,126.98032974827585,87
1159063000,서울특별시 동작구 사당2동,잠재 위험,64.64,2,37.502782843333335,126.97905605,6
1159063000,서울특별시 동작구 사당2동,잠재 위험,64.64,3,37.495271200000005,126.98127648000002,5
1129081000,서울특별시 성북구 석관동,최우선 대응,63.71,1,37.60998058224719,127.06097468426965,89
1129081000,서울특별시 성북구 석관동,최우선 대응,63.71,2,37.6108696,127.06988632000002,10
1129081000,서울특별시 성북구 석관동,최우선 대응,63.71,3,37.607218582499996,127.0646917125,8
1117058000,서울특별시 용산구 효창동,최우선 대응,63.65,1,37.541860186875,126.960660340625,32
1117058000,서울특별시 용산구 효창동,최우선 대응,63.65,2,37.539655252,126.96280754000001,5
1117058000,서울특별시 용산구 효창동,최우선 대응,63.65,3,37.547345050000004,126.96346625,2
1150057000,서울특별시 강서구 화곡4동,최우선 대응,63.46,1,37.53421833671429,126.85952085714287,70
1132051200,서울특별시 도봉구 창2동,잠재 위험,63.21,1,37.64296715447619,127.03734121428572,105
1123070500,서울특별시 동대문구 청량리동,잠재 위험,63.14,1,37.58452241742857,127.04551723571429,70
1132051500,서울특별시 도봉구 창5동,최우선 대응,62.57,1,37.65600422441559,127.04322944545454,77
1132051500,서울특별시 도봉구 창5동,최우선 대응,62.57,2,37.65227857,127.03790282,5
1138063100,서울특별시 은평구 신사1동,최우선 대응,60.87,1,37.598372289789474,126.91058150526315,95
1153080000,서울특별시 구로구 항동,잠재 위험,60.48,1,37.4790837775,126.8257419,4
1153080000,서울특별시 구로구 항동,잠재 위험,60.48,2,37.475882680000005,126.81678316666667,3
1153080000,서울특별시 구로구 항동,잠재 위험,60.48,3,37.48513095,126.82013275,2
1174070000,서울특별시 강동구 둔촌2동,잠재 위험,60.32,1,37.53161240172414,127.14309738275861,87
1174070000,서울특별시 강동구 둔촌2동,잠재 위험,60.32,2,37.53605505,127.15314592499999,4
1129077000,서울특별시 성북구 장위2동,잠재 위험,60.1,1,37.614600080588225,127.05091587058823,17
1129077000,서울특별시 성북구 장위2동,잠재 위험,60.1,2,37.61067135555555,127.05269074444443,9
